Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
444972,XII - SOCCSKSARGEN,140487,Female,54,Extended Family,2,33,20,2,1
323424,XII - SOCCSKSARGEN,97963,Male,63,Single Family,1,200,20,3,1
69846,XII - SOCCSKSARGEN,36666,Male,62,Single Family,3,17,12,1,1
74085,XII - SOCCSKSARGEN,52115,Male,39,Single Family,6,30,7,1,1
184017,XII - SOCCSKSARGEN,151709,Male,49,Single Family,4,35,10,2,1
182535,XII - SOCCSKSARGEN,57302,Male,51,Single Family,3,25,9,2,1
129363,XII - SOCCSKSARGEN,73870,Male,49,Single Family,7,67,28,1,1
111184,XII - SOCCSKSARGEN,72848,Male,41,Single Family,8,15,11,1,1
224340,XII - SOCCSKSARGEN,103712,Male,45,Single Family,7,14,11,1,1
60136,XII - SOCCSKSARGEN,38739,Male,31,Single Family,4,15,15,1,1
124899,XII - SOCCSKSARGEN,115390,Male,47,Single Family,9,15,3,1,0
53011,XII - SOCCSKSARGEN,38348,Female,70,Extended Family,5,20,7,1,1
44793,XII - SOCCSKSARGEN,40584,Female,62,Extended Family,2,12,15,0,1
66211,XII - SOCCSKSARGEN,53402,Male,37,Single Family,4,15,12,0,0
187319,XII - SOCCSKSARGEN,83448,Male,39,Single Family,8,25,6,1,1
178914,XII - SOCCSKSARGEN,133944,Male,45,Single Family,6,30,11,2,0
520468,XII - SOCCSKSARGEN,100254,Female,34,Single Family,3,53,10,1,1
264681,XII - SOCCSKSARGEN,93969,Male,47,Extended Family,4,35,5,2,1
51225,XII - SOCCSKSARGEN,45704,Male,25,Single Family,5,20,13,1,1
151980,XII - SOCCSKSARGEN,66736,Male,56,Single Family,4,48,9,2,1
206750,XII - SOCCSKSARGEN,79802,Male,29,Single Family,4,15,8,0,1
123417,XII - SOCCSKSARGEN,67053,Male,28,Single Family,4,40,25,1,1
71804,XII - SOCCSKSARGEN,41399,Male,30,Single Family,5,15,3,0,1
59792,XII - SOCCSKSARGEN,54570,Male,32,Single Family,4,15,7,0,1
73575,XII - SOCCSKSARGEN,35920,Female,55,Single Family,4,12,5,0,1
902196,XII - SOCCSKSARGEN,171553,Male,53,Single Family,4,80,24,3,1
128186,XII - SOCCSKSARGEN,99249,Female,62,Extended Family,5,16,12,2,1
510096,XII - SOCCSKSARGEN,162592,Male,62,Extended Family,4,100,23,3,1
64582,XII - SOCCSKSARGEN,38515,Female,84,Extended Family,4,12,42,0,1
281236,XII - SOCCSKSARGEN,116225,Male,40,Extended Family,5,54,5,3,1
98326,XII - SOCCSKSARGEN,45540,Male,27,Single Family,1,36,5,2,1
90949,XII - SOCCSKSARGEN,58580,Male,70,Extended Family,7,40,15,2,1
128906,XII - SOCCSKSARGEN,119750,Female,52,Extended Family,6,32,2,0,1
139131,XII - SOCCSKSARGEN,71185,Male,54,Extended Family,5,45,29,2,1
78481,XII - SOCCSKSARGEN,36283,Female,76,Extended Family,3,52,25,2,1
275407,XII - SOCCSKSARGEN,155823,Male,99,Extended Family,15,78,15,3,0
75302,XII - SOCCSKSARGEN,62911,Female,60,Extended Family,5,25,30,2,1
248376,XII - SOCCSKSARGEN,94593,Male,54,Single Family,2,45,15,2,1
230910,XII - SOCCSKSARGEN,96806,Female,68,Extended Family,4,35,25,2,1
165749,XII - SOCCSKSARGEN,100793,Male,55,Single Family,5,29,13,2,1
96075,XII - SOCCSKSARGEN,120756,Male,35,Extended Family,7,20,13,0,0
117160,XII - SOCCSKSARGEN,43433,Male,53,Single Family,5,42,10,1,1
225365,XII - SOCCSKSARGEN,117803,Male,42,Extended Family,8,60,3,2,0
224997,XII - SOCCSKSARGEN,84862,Female,59,Extended Family,3,64,10,2,1
161250,XII - SOCCSKSARGEN,60940,Male,42,Single Family,7,25,17,1,1
138276,XII - SOCCSKSARGEN,94330,Male,40,Single Family,5,26,16,2,1
154900,XII - SOCCSKSARGEN,105465,Male,51,Single Family,10,23,2,2,1
119713,XII - SOCCSKSARGEN,63885,Male,77,Single Family,6,25,16,2,1
166343,XII - SOCCSKSARGEN,55816,Female,50,Single Family,3,20,17,2,1
69434,XII - SOCCSKSARGEN,22528,Male,45,Single Family,1,20,7,2,1
77275,XII - SOCCSKSARGEN,41266,Male,69,Extended Family,3,22,47,1,1
104527,XII - SOCCSKSARGEN,36990,Male,81,Single Family,2,54,14,2,1
56599,XII - SOCCSKSARGEN,41263,Male,35,Single Family,5,13,5,2,1
97227,XII - SOCCSKSARGEN,88051,Male,35,Single Family,7,18,7,2,1
293608,XII - SOCCSKSARGEN,198459,Male,66,Extended Family,12,35,7,2,1
64594,XII - SOCCSKSARGEN,38112,Male,42,Single Family,5,18,22,1,1
128473,XII - SOCCSKSARGEN,59470,Male,57,Extended Family,5,25,15,2,1
216560,XII - SOCCSKSARGEN,121198,Male,42,Single Family,5,36,15,2,1
325321,XII - SOCCSKSARGEN,189278,Male,78,Extended Family,4,68,48,4,1
123164,XII - SOCCSKSARGEN,75298,Male,51,Single Family,4,54,13,2,1
136060,XII - SOCCSKSARGEN,89326,Male,42,Extended Family,7,40,12,1,1
116290,XII - SOCCSKSARGEN,81417,Male,44,Single Family,10,50,15,1,1
344415,XII - SOCCSKSARGEN,67913,Male,34,Single Family,4,12,3,2,1
104376,XII - SOCCSKSARGEN,52284,Male,27,Single Family,4,35,6,1,1
209004,XII - SOCCSKSARGEN,57922,Male,35,Single Family,4,135,5,4,1
45821,XII - SOCCSKSARGEN,20804,Male,64,Single Family,5,20,37,1,1
529131,XII - SOCCSKSARGEN,96488,Male,62,Extended Family,12,72,10,5,1
432176,XII - SOCCSKSARGEN,85473,Male,51,Single Family,4,36,33,3,1
60445,XII - SOCCSKSARGEN,27345,Male,58,Single Family,4,20,11,1,1
80698,XII - SOCCSKSARGEN,57942,Male,47,Single Family,5,36,9,1,1
261846,XII - SOCCSKSARGEN,82099,Male,73,Single Family,5,130,35,4,1
194031,XII - SOCCSKSARGEN,59955,Male,30,Single Family,4,42,5,2,1
144710,XII - SOCCSKSARGEN,59876,Male,49,Single Family,3,35,15,1,1
143900,XII - SOCCSKSARGEN,99671,Male,44,Single Family,5,15,17,2,1
313302,XII - SOCCSKSARGEN,104974,Male,44,Single Family,5,49,16,2,1
66945,XII - SOCCSKSARGEN,92006,Male,25,Single Family,3,42,30,1,1
105167,XII - SOCCSKSARGEN,55576,Male,32,Single Family,8,12,5,1,0
74195,XII - SOCCSKSARGEN,60206,Male,56,Single Family,2,12,19,1,0
92812,XII - SOCCSKSARGEN,64039,Male,37,Single Family,6,16,35,1,0
57268,XII - SOCCSKSARGEN,60067,Male,28,Single Family,6,12,9,1,0
77490,XII - SOCCSKSARGEN,100792,Male,47,Single Family,12,30,25,1,0
44442,XII - SOCCSKSARGEN,37565,Male,43,Extended Family,4,20,25,1,0
33406,XII - SOCCSKSARGEN,28860,Male,22,Single Family,4,12,5,1,0
283474,XII - SOCCSKSARGEN,111161,Male,58,Single Family,5,129,55,5,1
272360,XII - SOCCSKSARGEN,41232,Male,68,Single Family,4,11,4,0,0
158574,XII - SOCCSKSARGEN,38351,Female,50,Single Family,3,16,30,1,0
160324,XII - SOCCSKSARGEN,37149,Female,50,Single Family,4,24,35,2,0
144266,XII - SOCCSKSARGEN,76653,Male,50,Single Family,3,33,20,2,0
93390,XII - SOCCSKSARGEN,53188,Male,72,Extended Family,3,28,5,1,0
90758,XII - SOCCSKSARGEN,44266,Female,68,Extended Family,3,16,17,1,0
282283,XII - SOCCSKSARGEN,86012,Male,43,Single Family,3,28,17,3,0
39012,XII - SOCCSKSARGEN,19193,Female,26,Single Family,2,15,4,1,0
208532,XII - SOCCSKSARGEN,116962,Male,47,Single Family,9,30,10,1,1
55562,XII - SOCCSKSARGEN,33354,Female,50,Single Family,4,15,5,1,0
74869,XII - SOCCSKSARGEN,47742,Female,48,Single Family,3,24,5,1,1
164551,XII - SOCCSKSARGEN,64157,Male,61,Single Family,4,14,23,1,0
150358,XII - SOCCSKSARGEN,82467,Male,46,Single Family,7,28,19,1,1
208523,XII - SOCCSKSARGEN,123717,Male,45,Single Family,8,55,28,2,1
168317,XII - SOCCSKSARGEN,58569,Male,35,Single Family,3,13,6,2,0
152912,XII - SOCCSKSARGEN,94920,Male,63,Single Family,2,26,5,2,1
236055,XII - SOCCSKSARGEN,101424,Male,50,Extended Family,10,40,5,4,1
174476,XII - SOCCSKSARGEN,93799,Male,24,Single Family,5,24,7,1,1
314755,XII - SOCCSKSARGEN,152951,Male,43,Single Family,5,30,22,3,1
135154,XII - SOCCSKSARGEN,57661,Male,42,Single Family,7,31,25,1,0
57639,XII - SOCCSKSARGEN,41661,Male,37,Single Family,5,18,15,0,1
66014,XII - SOCCSKSARGEN,40612,Male,75,Extended Family,3,19,35,0,0
47945,XII - SOCCSKSARGEN,109787,Male,32,Single Family,5,120,8,1,0
46910,XII - SOCCSKSARGEN,40183,Female,35,Single Family,3,80,13,1,0
53931,XII - SOCCSKSARGEN,36029,Male,32,Single Family,5,72,7,1,0
70396,XII - SOCCSKSARGEN,48803,Male,42,Single Family,9,195,18,2,0
29314,XII - SOCCSKSARGEN,33455,Male,50,Single Family,2,120,14,1,0
75490,XII - SOCCSKSARGEN,61459,Male,58,Single Family,6,195,17,2,1
65754,XII - SOCCSKSARGEN,75618,Male,37,Single Family,5,360,15,2,0
52804,XII - SOCCSKSARGEN,61629,Male,44,Single Family,9,135,16,2,0
45569,XII - SOCCSKSARGEN,53581,Female,51,Single Family,3,120,17,2,1
84273,XII - SOCCSKSARGEN,64890,Female,85,Single Family,2,80,14,1,0
87049,XII - SOCCSKSARGEN,68064,Male,35,Single Family,6,120,5,1,1
98201,XII - SOCCSKSARGEN,26024,Female,48,Single Family,2,180,16,1,0
89656,XII - SOCCSKSARGEN,57373,Male,52,Single Family,3,192,20,2,1
48357,XII - SOCCSKSARGEN,54227,Male,55,Single Family,4,195,18,2,1
320102,XII - SOCCSKSARGEN,98305,Female,68,Single Family,2,120,15,2,1
65340,XII - SOCCSKSARGEN,68459,Female,70,Single Family,3,108,17,1,0
88935,XII - SOCCSKSARGEN,48986,Male,54,Single Family,5,27,24,2,1
35324,XII - SOCCSKSARGEN,38773,Male,25,Single Family,3,90,4,1,1
81321,XII - SOCCSKSARGEN,69635,Male,74,Single Family,2,120,17,2,1
33600,XII - SOCCSKSARGEN,33926,Female,47,Single Family,2,90,11,1,0
394934,XII - SOCCSKSARGEN,119242,Male,56,Single Family,3,54,21,2,1
115078,XII - SOCCSKSARGEN,52343,Male,66,Single Family,4,36,31,2,1
167488,XII - SOCCSKSARGEN,95292,Female,51,Single Family,4,74,32,5,1
480206,XII - SOCCSKSARGEN,137703,Male,46,Extended Family,8,72,38,3,1
312474,XII - SOCCSKSARGEN,65545,Female,52,Single Family,2,37,16,3,1
112116,XII - SOCCSKSARGEN,44025,Female,81,Extended Family,6,19,16,2,1
235200,XII - SOCCSKSARGEN,86060,Male,65,Extended Family,5,13,15,2,1
404830,XII - SOCCSKSARGEN,215602,Male,36,Extended Family,8,36,13,3,1
63380,XII - SOCCSKSARGEN,61370,Male,43,Single Family,7,26,17,2,1
64018,XII - SOCCSKSARGEN,45012,Male,33,Single Family,5,40,14,2,1
578610,XII - SOCCSKSARGEN,31200,Male,75,Single Family,1,43,43,3,1
64602,XII - SOCCSKSARGEN,42738,Male,19,Single Family,3,7,16,0,0
145782,XII - SOCCSKSARGEN,116491,Female,28,Extended Family,3,22,35,4,1
95173,XII - SOCCSKSARGEN,28089,Male,58,Extended Family,5,22,35,4,1
125839,XII - SOCCSKSARGEN,61844,Male,25,Extended Family,5,22,35,4,1
79600,XII - SOCCSKSARGEN,35139,Female,18,Single Family,2,23,24,2,1
146307,XII - SOCCSKSARGEN,55071,Male,51,Single Family,6,7,7,1,1
233160,XII - SOCCSKSARGEN,47662,Male,39,Single Family,2,36,40,5,1
122225,XII - SOCCSKSARGEN,64968,Male,23,Extended Family,5,14,15,1,1
170282,XII - SOCCSKSARGEN,126407,Male,46,Single Family,4,9,1,1,1
124460,XII - SOCCSKSARGEN,72496,Male,68,Extended Family,7,21,15,2,1
157714,XII - SOCCSKSARGEN,56166,Female,51,Extended Family,4,18,25,2,1
107234,XII - SOCCSKSARGEN,54495,Male,38,Single Family,4,15,15,1,1
158402,XII - SOCCSKSARGEN,83238,Male,39,Single Family,7,25,2,3,0
166715,XII - SOCCSKSARGEN,137554,Male,44,Extended Family,8,12,23,2,1
52525,XII - SOCCSKSARGEN,32059,Male,64,Single Family,2,20,30,2,0
73777,XII - SOCCSKSARGEN,74070,Male,38,Single Family,4,21,30,2,1
141993,XII - SOCCSKSARGEN,110774,Male,65,Extended Family,6,14,17,0,1
328540,XII - SOCCSKSARGEN,88154,Male,64,Single Family,2,13,30,2,1
110780,XII - SOCCSKSARGEN,37729,Male,56,Extended Family,6,15,24,1,1
262624,XII - SOCCSKSARGEN,89775,Male,42,Single Family,5,54,5,3,1
51995,XII - SOCCSKSARGEN,27241,Female,72,Single Family,2,15,25,1,0
646595,XII - SOCCSKSARGEN,139233,Male,52,Single Family,5,30,20,3,1
59622,XII - SOCCSKSARGEN,35332,Male,65,Single Family,3,28,3,2,0
43280,XII - SOCCSKSARGEN,49807,Male,47,Single Family,9,25,5,2,0
74030,XII - SOCCSKSARGEN,78534,Female,56,Extended Family,13,11,16,0,1
28558,XII - SOCCSKSARGEN,38225,Male,63,Single Family,1,28,24,0,1
56880,XII - SOCCSKSARGEN,100270,Male,37,Single Family,4,150,17,2,1
102335,XII - SOCCSKSARGEN,84353,Male,45,Extended Family,9,39,6,2,1
102912,XII - SOCCSKSARGEN,53716,Male,50,Single Family,4,150,18,2,1
63813,XII - SOCCSKSARGEN,48149,Female,60,Single Family,3,150,50,1,0
72540,XII - SOCCSKSARGEN,39413,Male,59,Single Family,4,17,17,1,1
143707,XII - SOCCSKSARGEN,43169,Male,66,Single Family,8,150,23,3,1
74851,XII - SOCCSKSARGEN,78861,Male,43,Single Family,4,100,1,0,1
56126,XII - SOCCSKSARGEN,37811,Male,37,Single Family,3,33,6,2,1
31555,XII - SOCCSKSARGEN,11835,Male,68,Single Family,1,11,20,1,1
269095,XII - SOCCSKSARGEN,52003,Male,55,Extended Family,7,28,12,3,1
50648,XII - SOCCSKSARGEN,46070,Male,47,Single Family,5,14,17,2,0
122730,XII - SOCCSKSARGEN,58037,Male,60,Single Family,5,11,15,0,1
60418,XII - SOCCSKSARGEN,45591,Male,63,Single Family,4,200,6,2,1
135941,XII - SOCCSKSARGEN,38819,Female,60,Single Family,5,45,23,3,0
121314,XII - SOCCSKSARGEN,66223,Male,67,Single Family,3,32,19,2,0
86869,XII - SOCCSKSARGEN,52424,Male,31,Single Family,5,26,6,1,1
202905,XII - SOCCSKSARGEN,51447,Male,46,Single Family,4,25,21,1,1
76684,XII - SOCCSKSARGEN,56718,Male,58,Single Family,4,29,17,1,0
368062,XII - SOCCSKSARGEN,114635,Female,57,Extended Family,4,23,3,4,1
215446,XII - SOCCSKSARGEN,86879,Male,46,Single Family,6,48,10,1,1
203255,XII - SOCCSKSARGEN,53115,Male,49,Single Family,4,23,12,2,1
121100,XII - SOCCSKSARGEN,38638,Female,56,Single Family,2,14,10,2,1
299093,XII - SOCCSKSARGEN,101916,Male,81,Single Family,5,43,8,3,1
180768,XII - SOCCSKSARGEN,89084,Male,30,Single Family,4,18,7,1,1
154180,XII - SOCCSKSARGEN,48859,Female,56,Single Family,2,43,23,2,1
74242,XII - SOCCSKSARGEN,73243,Male,66,Extended Family,8,14,3,1,0
127313,XII - SOCCSKSARGEN,88388,Male,50,Extended Family,5,50,19,3,1
146392,XII - SOCCSKSARGEN,107235,Male,43,Extended Family,14,15,15,1,0
88759,XII - SOCCSKSARGEN,46568,Male,42,Single Family,5,13,2,2,0
146588,XII - SOCCSKSARGEN,97429,Male,50,Single Family,12,11,13,2,0
48346,XII - SOCCSKSARGEN,84497,Male,28,Single Family,5,11,6,1,0
249270,XII - SOCCSKSARGEN,91135,Male,56,Single Family,9,11,1,1,1
44498,XII - SOCCSKSARGEN,40260,Male,47,Single Family,2,9,14,1,0
111289,XII - SOCCSKSARGEN,44398,Male,71,Extended Family,3,7,40,1,0
274516,XII - SOCCSKSARGEN,139230,Male,75,Extended Family,6,54,44,3,1
78195,XII - SOCCSKSARGEN,33374,Male,72,Extended Family,4,11,16,1,0
137580,XII - SOCCSKSARGEN,105511,Male,43,Single Family,5,18,34,1,1
319872,XII - SOCCSKSARGEN,83703,Male,39,Single Family,6,36,5,2,1
201840,XII - SOCCSKSARGEN,74217,Male,42,Extended Family,5,43,1,2,1
197455,XII - SOCCSKSARGEN,68213,Male,39,Single Family,5,11,15,2,1
99325,XII - SOCCSKSARGEN,54600,Male,53,Single Family,4,16,25,2,0
131640,XII - SOCCSKSARGEN,37828,Male,80,Single Family,4,22,30,2,0
75509,XII - SOCCSKSARGEN,43673,Male,52,Single Family,3,9,6,1,1
194736,XII - SOCCSKSARGEN,83967,Male,48,Single Family,8,55,19,1,1
36908,XII - SOCCSKSARGEN,38413,Male,72,Single Family,2,26,28,2,1
65008,XII - SOCCSKSARGEN,59225,Male,48,Single Family,6,45,15,2,1
67960,XII - SOCCSKSARGEN,24014,Male,61,Single Family,3,45,27,2,1
39188,XII - SOCCSKSARGEN,42163,Male,59,Extended Family,4,63,28,3,1
282470,XII - SOCCSKSARGEN,65743,Male,76,Single Family,5,36,2,2,1
144016,XII - SOCCSKSARGEN,89004,Male,57,Single Family,5,13,13,2,1
319550,XII - SOCCSKSARGEN,108156,Male,55,Single Family,10,25,25,2,1
70301,XII - SOCCSKSARGEN,31658,Male,25,Single Family,3,32,25,2,1
130800,XII - SOCCSKSARGEN,105015,Male,43,Single Family,7,9,10,1,0
121693,XII - SOCCSKSARGEN,66931,Female,60,Extended Family,7,25,28,2,1
204225,XII - SOCCSKSARGEN,62400,Male,55,Single Family,5,29,15,2,1
94879,XII - SOCCSKSARGEN,40278,Male,34,Single Family,3,40,4,3,1
209750,XII - SOCCSKSARGEN,63910,Male,42,Single Family,3,11,13,1,1
123940,XII - SOCCSKSARGEN,94542,Male,40,Extended Family,7,54,18,4,1
236995,XII - SOCCSKSARGEN,99412,Male,34,Single Family,9,43,15,2,1
154397,XII - SOCCSKSARGEN,66238,Male,59,Extended Family,4,52,26,2,1
162190,XII - SOCCSKSARGEN,100654,Male,56,Extended Family,7,24,53,2,1
595967,XII - SOCCSKSARGEN,94168,Male,54,Single Family,3,22,19,2,1
277266,XII - SOCCSKSARGEN,74143,Male,72,Single Family,3,52,13,1,1
124816,XII - SOCCSKSARGEN,25525,Female,74,Single Family,1,32,43,1,1
151148,XII - SOCCSKSARGEN,72554,Male,35,Single Family,4,52,5,1,1
625767,XII - SOCCSKSARGEN,145380,Male,54,Extended Family,8,98,14,5,1
166175,XII - SOCCSKSARGEN,68959,Male,74,Single Family,4,30,16,2,1
126551,XII - SOCCSKSARGEN,59456,Male,43,Single Family,4,18,15,2,1
540382,XII - SOCCSKSARGEN,166829,Male,54,Single Family,10,80,15,4,1
128099,XII - SOCCSKSARGEN,148983,Male,29,Single Family,6,30,8,2,1
263239,XII - SOCCSKSARGEN,124111,Male,38,Extended Family,7,48,20,2,1
122998,XII - SOCCSKSARGEN,59188,Female,67,Extended Family,7,42,12,3,1
288446,XII - SOCCSKSARGEN,128146,Male,40,Single Family,8,61,7,4,1
24559,XII - SOCCSKSARGEN,9348,Male,69,Single Family,1,12,1,0,0
280941,XII - SOCCSKSARGEN,100389,Female,62,Single Family,4,22,0,2,1
86793,XII - SOCCSKSARGEN,45967,Male,62,Single Family,3,20,25,2,0
227110,XII - SOCCSKSARGEN,137863,Male,65,Extended Family,8,60,35,2,1
102614,XII - SOCCSKSARGEN,43204,Male,55,Extended Family,3,45,22,2,1
100820,XII - SOCCSKSARGEN,202158,Male,31,Single Family,5,20,4,1,1
448880,XII - SOCCSKSARGEN,181152,Female,62,Extended Family,6,56,29,3,1
100760,XII - SOCCSKSARGEN,32522,Female,69,Extended Family,5,20,25,2,1
143995,XII - SOCCSKSARGEN,100266,Male,73,Extended Family,4,70,7,2,1
788579,XII - SOCCSKSARGEN,106643,Male,52,Extended Family,5,40,17,3,1
104622,XII - SOCCSKSARGEN,51692,Male,31,Single Family,1,36,37,2,1
151082,XII - SOCCSKSARGEN,70570,Male,27,Extended Family,4,54,17,2,1
111371,XII - SOCCSKSARGEN,47633,Male,40,Single Family,5,5,4,1,1
142510,XII - SOCCSKSARGEN,66692,Male,29,Single Family,5,54,15,2,1
163328,XII - SOCCSKSARGEN,70142,Male,43,Extended Family,6,26,12,2,1
65995,XII - SOCCSKSARGEN,41706,Male,29,Single Family,3,11,12,1,1
91810,XII - SOCCSKSARGEN,44512,Male,25,Single Family,3,13,15,2,1
114397,XII - SOCCSKSARGEN,69516,Male,25,Single Family,5,13,16,2,1
75918,XII - SOCCSKSARGEN,49165,Male,41,Single Family,5,15,12,1,1
146148,XII - SOCCSKSARGEN,91729,Male,47,Extended Family,5,11,14,3,1
104858,XII - SOCCSKSARGEN,37246,Female,65,Single Family,2,40,16,1,1
340698,XII - SOCCSKSARGEN,106142,Male,49,Single Family,5,14,26,2,1
131290,XII - SOCCSKSARGEN,71343,Male,53,Single Family,4,40,22,2,1
124346,XII - SOCCSKSARGEN,67734,Male,67,Extended Family,3,11,35,2,1
629316,XII - SOCCSKSARGEN,135852,Male,55,Extended Family,7,13,25,3,1
169933,XII - SOCCSKSARGEN,71973,Male,45,Single Family,4,16,25,1,1
86234,XII - SOCCSKSARGEN,52699,Male,60,Single Family,3,11,15,1,1
77799,XII - SOCCSKSARGEN,46462,Male,80,Single Family,2,14,31,1,1
83449,XII - SOCCSKSARGEN,59687,Male,30,Single Family,4,18,5,1,1
122334,XII - SOCCSKSARGEN,64741,Male,39,Single Family,5,11,15,2,1
60774,XII - SOCCSKSARGEN,79530,Male,52,Single Family,4,18,13,2,1
72899,XII - SOCCSKSARGEN,24031,Male,77,Single Family,1,56,10,3,1
111315,XII - SOCCSKSARGEN,64528,Male,25,Single Family,4,82,7,2,1
76613,XII - SOCCSKSARGEN,52164,Male,49,Single Family,5,11,13,3,1
169335,XII - SOCCSKSARGEN,66873,Female,49,Single Family,3,33,14,2,1
38143,XII - SOCCSKSARGEN,24699,Male,30,Single Family,3,15,13,1,1
177932,XII - SOCCSKSARGEN,60677,Female,60,Extended Family,3,270,12,5,1
54804,XII - SOCCSKSARGEN,28594,Female,74,Extended Family,3,41,23,2,1
75935,XII - SOCCSKSARGEN,50862,Male,43,Extended Family,5,30,13,2,1
2028717,XII - SOCCSKSARGEN,303506,Male,44,Extended Family,5,30,13,3,1
201031,XII - SOCCSKSARGEN,80348,Male,47,Single Family,3,45,17,1,1
78163,XII - SOCCSKSARGEN,35281,Male,36,Single Family,3,11,15,2,1
19894,XII - SOCCSKSARGEN,13105,Male,73,Single Family,1,16,39,1,0
81540,XII - SOCCSKSARGEN,49225,Male,59,Single Family,3,30,28,3,1
341487,XII - SOCCSKSARGEN,123144,Male,41,Single Family,5,13,14,1,1
83082,XII - SOCCSKSARGEN,54006,Male,37,Single Family,5,11,35,2,1
557518,XII - SOCCSKSARGEN,125716,Male,61,Extended Family,5,61,36,2,1
82314,XII - SOCCSKSARGEN,44604,Male,56,Single Family,5,13,14,1,1
250000,XII - SOCCSKSARGEN,123667,Male,61,Extended Family,4,11,34,2,1
200148,XII - SOCCSKSARGEN,75830,Female,71,Extended Family,3,54,36,2,1
145907,XII - SOCCSKSARGEN,72078,Male,36,Single Family,4,29,4,2,1
80930,XII - SOCCSKSARGEN,70090,Male,50,Extended Family,7,15,59,2,1
287625,XII - SOCCSKSARGEN,113016,Male,74,Extended Family,4,54,25,3,1
58440,XII - SOCCSKSARGEN,24736,Male,28,Single Family,1,15,12,1,1
255607,XII - SOCCSKSARGEN,136025,Male,39,Single Family,4,75,9,2,1
205139,XII - SOCCSKSARGEN,58933,Male,47,Extended Family,4,140,37,3,1
102198,XII - SOCCSKSARGEN,40714,Female,67,Single Family,1,78,26,2,1
24861,XII - SOCCSKSARGEN,24357,Male,64,Single Family,2,13,30,2,1
318264,XII - SOCCSKSARGEN,121096,Female,67,Extended Family,4,75,36,3,1
59734,XII - SOCCSKSARGEN,42646,Female,78,Single Family,2,25,28,1,1
187082,XII - SOCCSKSARGEN,84002,Male,76,Extended Family,5,28,41,2,1
155478,XII - SOCCSKSARGEN,87829,Male,48,Extended Family,8,30,10,2,1
85688,XII - SOCCSKSARGEN,55914,Female,78,Extended Family,3,33,50,2,1
105212,XII - SOCCSKSARGEN,90423,Male,33,Single Family,8,27,32,1,1
62916,XII - SOCCSKSARGEN,45412,Male,40,Single Family,4,25,15,1,1
127806,XII - SOCCSKSARGEN,31013,Female,66,Single Family,2,32,12,2,1
259344,XII - SOCCSKSARGEN,94255,Female,70,Extended Family,9,54,10,4,1
366382,XII - SOCCSKSARGEN,61618,Male,60,Single Family,2,45,31,3,1
183066,XII - SOCCSKSARGEN,74616,Female,69,Extended Family,6,48,62,3,1
191923,XII - SOCCSKSARGEN,53216,Male,35,Single Family,5,18,2,0,1
106140,XII - SOCCSKSARGEN,55264,Male,45,Single Family,5,47,10,2,1
69620,XII - SOCCSKSARGEN,31579,Male,40,Single Family,4,54,0,3,1
111899,XII - SOCCSKSARGEN,29135,Male,33,Single Family,1,28,0,1,1
26705,XII - SOCCSKSARGEN,18646,Male,76,Single Family,1,18,2,1,0
122217,XII - SOCCSKSARGEN,61792,Male,57,Single Family,3,50,10,2,0
69328,XII - SOCCSKSARGEN,31264,Male,42,Single Family,1,19,20,1,1
86201,XII - SOCCSKSARGEN,25569,Male,37,Single Family,2,16,0,1,1
82415,XII - SOCCSKSARGEN,55584,Male,40,Single Family,5,13,5,1,1
74110,XII - SOCCSKSARGEN,51759,Male,55,Single Family,4,15,15,1,1
154765,XII - SOCCSKSARGEN,42353,Male,29,Single Family,2,16,9,1,0
63208,XII - SOCCSKSARGEN,55046,Male,46,Single Family,8,15,12,1,1
261082,XII - SOCCSKSARGEN,93750,Male,53,Single Family,5,35,22,3,1
206897,XII - SOCCSKSARGEN,104062,Male,78,Extended Family,11,48,33,3,1
121272,XII - SOCCSKSARGEN,57639,Male,44,Single Family,5,35,15,1,1
218179,XII - SOCCSKSARGEN,40011,Male,59,Single Family,2,35,35,2,1
186880,XII - SOCCSKSARGEN,53920,Male,54,Single Family,5,35,18,2,1
198336,XII - SOCCSKSARGEN,85647,Male,45,Single Family,5,30,18,2,1
208660,XII - SOCCSKSARGEN,50090,Female,33,Single Family,1,132,9,4,1
226570,XII - SOCCSKSARGEN,81312,Male,55,Single Family,3,98,22,2,1
125175,XII - SOCCSKSARGEN,53424,Male,47,Single Family,5,80,25,2,1
277620,XII - SOCCSKSARGEN,95581,Male,51,Single Family,4,36,22,2,1
343675,XII - SOCCSKSARGEN,111830,Male,50,Extended Family,7,40,10,3,1
195084,XII - SOCCSKSARGEN,71620,Male,52,Single Family,4,45,19,3,1
339640,XII - SOCCSKSARGEN,116843,Female,50,Single Family,4,36,22,2,1
131856,XII - SOCCSKSARGEN,79011,Male,41,Single Family,8,45,18,2,1
110156,XII - SOCCSKSARGEN,65923,Male,61,Single Family,3,18,39,3,1
333435,XII - SOCCSKSARGEN,71577,Male,33,Single Family,5,30,14,1,1
137512,XII - SOCCSKSARGEN,62322,Male,60,Single Family,4,10,16,0,1
82390,XII - SOCCSKSARGEN,50690,Male,55,Single Family,4,10,45,1,1
139112,XII - SOCCSKSARGEN,73190,Male,53,Single Family,3,10,16,1,1
